Tc_full-no_duplicates,Tc_full
873,1904
874,1905
875,1906
876,1907
877,1908
878,1909
879,1910
880,1911
881,1912
882,1913
883,1914
884,1915
885,1916
886,1917
887,1918
888,1919
889,1920
890,1921
891,1922
892,1923
893,1924
894,1925
895,1926
896,1927
897,1928
898,1929
899,1930
900,1931
901,1932
902,1933
903,1934
904,1935
905,1936
906,1937
907,1938
908,1939
909,1940
910,1941
911,1942
912,1943
913,1944
914,1945
915,1946
916,1947
917,1948
918,1949
919,1950
920,1951
921,1952
922,1953
923,1954
924,1955
925,1956
926,1957
927,1958
928,1959
929,1960
930,1961
931,1962
932,1963
933,1964
934,1965
935,1966
936,1967
937,1968
938,1969
939,1970
940,1971
941,1972
942,1973
943,1974
944,1975
945,1976
946,1977
947,1978
948,1979
949,1980
950,1981
951,1982
952,1983
953,1984
954,1985
955,1986
956,1987
957,1988
958,1989
959,1990
960,1991
961,1992
962,1993
963,1994
964,1995
965,1996
966,1997
967,1998
968,1999
969,2000
970,2001
971,2002
972,2003
973,2004
974,2005
975,2006
976,2007
977,2008
978,2009
979,2010
980,2011
981,2012
982,2013
983,2014
984,2015
985,2016
986,2017
987,2018
988,2019
989,2020
990,2021
991,2022
992,2023
993,2024
994,2025
995,2026
996,2027
997,2028
998,2029
999,2030
1000,2031
1001,2032
1002,2033
1003,2034
1004,2035
1005,2036
1006,2037
1007,2038
1008,2039
1009,2040
1010,2041
1011,2042
1012,2043
1013,2044
1014,2045
1015,2046
1016,2047
1017,2048
1018,2049
1019,2050
1020,2051
1021,2052
1022,2053
1023,2054
1024,2055
1025,2056
1026,2057
1027,2058
1028,2059
1029,2060
1030,2061
1031,2062
1032,2063
1033,2064
1034,2065
1035,2066
1036,2067
1037,2068
1038,2069
1039,2070
1040,2071
1041,2072
1042,2073
1043,2074
1044,2075
1045,2076
1046,2077
1047,2078
1048,2079
1049,2080
1050,2081
1051,2082
1052,2083
1053,2084
1054,2085
1055,2086
1056,2087
1057,2088
1058,2089
1059,2090
1060,2091
1061,2092
1062,2093
1063,2094
1064,2095
1065,2096
1066,2097
1067,2098
1068,2099
1069,2100
1070,2101
1071,2102
1072,2103
1073,2104
1074,2105
1075,2106
1076,2107
1077,2108
1078,2109
1079,2110
1080,2111
1081,2112
1082,2113
1083,2114
1084,2115
1085,2116
1086,2285
1087,2286
1088,2287
1089,2288
1090,2289
1091,2290
1092,2291
1093,2292
1094,2293
1095,2294
1096,2295
1097,2296
1098,2297
1099,2298
1100,2299
1101,2300
1102,2301
1103,2302
1104,2303
1105,2304
1106,2305
1107,2306
1108,2307
1109,2308
1110,2309
1111,2310
1112,2311
1113,2312
1114,2313
1115,2314
1116,2315
1117,2316
1118,2317
1119,2318
1120,2319
1121,2320
1122,2321
1123,2322
1124,2323
1125,2324
1126,2325
1127,2326
1128,2327
1129,2328
1130,2329
1131,2330
1132,2331
1133,2332
1134,2333
1135,2334
1136,2335
1137,2336
1138,2337
1139,2338
1140,2339
1141,2340
1142,2341
1143,2342
1144,2343
1145,2344
1146,2345
1147,2346
1148,2347
1149,2348
1150,2349
1151,2350
1152,2351
1153,2352
1154,2353
1155,2354
1156,2355
1157,2356
1158,2357
1159,2358
1160,2359
1161,2360
1162,2361
1163,2362
1164,2363
1165,2364
1166,2365
1167,2366
1168,2367
1169,2368
1170,2369
1171,2370
1172,2371
1173,2372
1174,2373
1175,2374
1176,2375
1177,2376
1178,2377
1179,2378
1180,2379
1181,2380
1182,2381
1183,2382
1184,2383
1185,2384
1186,2385
1187,2386
1188,2387
1189,2388
1190,2389
1191,2390
1192,2391
1193,2392
1194,2393
1195,2394
1196,2395
1197,2396
1198,2397
1199,2398
1200,2399
1201,2400
1202,2401
1203,2402
1204,2403
1205,2404
1206,2405
1207,2406
1208,2407
1209,2408
1210,2409
1211,2410
1212,2411
1213,2412
1214,2413
1215,2414
1216,2415
1217,2416
1218,2417
1219,2418
1220,2419
1221,2420
1222,2421
1223,2422
1224,2423
1225,2424
1226,2425
1227,2426
1228,2427
1229,2428
1230,2429
1231,2430
1232,2431
1233,2432
1234,2433
1235,2434
1236,2435
1237,2436
1238,2437
1239,2438
1240,2439
1241,2440
1242,2441
1243,2442
1244,2443
1245,2444
1246,2445
1247,2446
1248,2447
1249,2448
1250,2449
1251,2450
1252,2451
1253,2452
1254,2453
1255,2454
1256,2455
1257,2456
1258,2457
1259,2458
1260,2459
1261,2460
1262,2461
1263,2462
1264,2463
1265,2464
1266,2465
1267,2466
1268,2467
1269,2468
1270,2469
1271,2470
1272,2471
1273,2472
1274,2473
1275,2474
1276,2475
1277,2476
1278,2477
1279,2478
1280,2479
1281,2480
1282,2481
1283,2482
1284,2483
1285,2484
1286,2485
1287,2486
1288,2487
1289,2488
1290,2489
1291,2490
1292,2491
1293,2492
1294,2493
1295,2494
1296,2495
1297,2496
1298,2497
1299,2498
1300,2499
1301,2500
1302,2501
1303,2502
1304,2503
1305,2504
1306,2505
1307,2506
1308,2507
1309,2508
1310,2509
1311,2510
1312,2511
1313,2512
1314,2513
1315,2514
1316,2515
1317,2516
1318,2517
1319,2518
1320,2519
1321,2520
1322,2521
1323,2522
1324,2523
1325,2524
1326,2525
1327,2526
1328,2527
1329,2528
1330,2529
1331,2530
1332,2531
1333,2532
1334,2533
1335,2534
1336,2535
1337,2536
1338,2537
1339,2538
1340,2539
1341,2540
1342,2541
1343,2542
1344,2543
1345,2544
1346,2545
1347,2546
1348,2547
1349,2548
1350,2549
1351,2550
1352,2551
1353,2552
1354,2553
1355,2554
1356,2555
1357,2556
1358,2557
1359,2558
1360,2559
1361,2560
1362,2561
1363,2562
1364,2563
1365,2564
1366,2565
1367,2566
1368,2567
1369,2568
1370,2569
1371,2570
1372,2571
1373,2572
1374,2573
1375,2574
1376,2575
1377,2576
1378,2577
1379,2578
1380,2579
1381,2580
1382,2581
1383,2582
1384,2583
1385,2584
1386,2585
1387,2586
1388,2587
1389,2588
1390,2589
1391,2590
1392,2591
1393,2592
1394,2593
1395,2594
1396,2595
1397,2596
1398,2597
1399,2598
1400,2599
1401,2600
1402,2601
1403,2602
1404,2603
1405,2604
1406,2605
1407,2606
1408,2607
1409,2608
1410,2609
1411,2610
1412,2611
1413,2612
1414,2613
1415,2614
1416,2615
1417,2616
1418,2617
1419,2618
1420,2619
1421,2620
1422,2621
1423,2622
1424,2623
1425,2624
1426,2625
1427,2626
1428,2627
1429,2628
1430,2629
1431,2630
1432,2631
1433,2632
1434,2633
1435,2634
1436,2635
1437,2636
1438,2637
1439,2638
1440,2639
1441,2640
1442,2641
1443,2642
1444,2643
1445,2644
1446,2645
1447,2646
1448,2647
1449,2648
1450,2649
1451,2650
1452,2651
1453,2652
1454,2653
1455,2654
1456,2655
1457,2656
1458,2657
1459,2658
1460,2659
1461,2660
1462,2661
1463,2662
1464,2663
1465,2664
1466,2665
1467,2666
1468,2667
1469,2668
1470,2669
1471,2670
1472,2671
1473,2672
1474,2673
1475,2674
1476,2675
1477,2676
1478,2677
1479,2678
1480,2679
1481,2680
1482,2681
1483,2682
1484,2683
1485,2684
1486,2685
1487,2686
1488,2687
1489,2688
1490,2689
1491,2690
1492,2691
1493,2692
1494,2693
1495,2694
1496,2695
1497,2696
1498,2697
1499,2698
1500,2699
1501,2700
1502,2701
1503,2702
1504,2703
1505,2704
1506,2705
1507,2706
1508,2707
1509,2708
1510,2709
1511,2710
1512,2711
1513,2712
1514,2713
1515,2714
1516,2715
1517,2716
1518,2717
1519,2718
1520,2719
1521,2720
1522,2721
